"TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","PTS","PLUS_MINUS","Season"
"1610612765","Detroit Pistons","82","50","32","0.61","3981","2700","6277","0.43","533","1488","0.358","1559","2021","0.771","7492","302","2002-03"
"1610612744","Golden State Warriors","82","38","44","0.463","3951","3061","6941","0.441","425","1235","0.344","1853","2382","0.778","8400","-93","2002-03"
"1610612745","Houston Rockets","82","43","39","0.524","3986","2840","6461","0.44","439","1267","0.346","1569","2044","0.768","7688","121","2002-03"
"1610612754","Indiana Pacers","82","48","34","0.585","3981","2911","6608","0.441","379","1119","0.339","1739","2271","0.766","7940","286","2002-03"
"1610612746","Los Angeles Clippers","82","27","55","0.329","3951","2835","6490","0.437","390","1178","0.331","1633","2177","0.75","7693","-338","2002-03"
"1610612747","Los Angeles Lakers","82","50","32","0.61","3986","3091","6856","0.451","486","1367","0.356","1562","2129","0.734","8230","191","2002-03"
"1610612763","Memphis Grizzlies","82","28","54","0.341","3986","3049","6743","0.452","467","1279","0.365","1430","1936","0.739","7995","-265","2002-03"
"1610612748","Miami Heat","82","25","57","0.305","3966","2688","6517","0.412","348","1100","0.316","1292","1689","0.765","7016","-414","2002-03"
"1610612749","Milwaukee Bucks","82","42","40","0.512","3981","3045","6670","0.457","585","1526","0.383","1483","1911","0.776","8158","19","2002-03"
"1610612750","Minnesota Timberwolves","82","51","31","0.622","3961","3172","6809","0.466","296","804","0.368","1406","1826","0.77","8046","170","2002-03"
"1610612751","New Jersey Nets","82","49","33","0.598","3951","2906","6585","0.441","346","1041","0.332","1662","2195","0.757","7820","428","2002-03"
